                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.1284,                 2.0452,                 1.7469,                 1.6985,                 0.4897,                0.48162,                0.49401,                0.32414,                0.48822,                0.47816,                0.47401,                0.32043,                 1.3583,                 2.0602,                 1.8427,                 1.9543,               0.002773,               0.002773,               0.002773
                     75,                 1.0892,                 2.0139,                 1.7354,                 1.6511,                0.41401,                0.48352,                0.47701,                0.31958,                0.43033,                0.48044,                0.46614,                0.32226,                 1.3182,                 2.0961,                 1.8376,                 1.9286,               0.002674,               0.002674,               0.002674
                     76,                 1.1053,                 2.0194,                 1.7559,                 1.6848,                0.51699,                0.45139,                0.49336,                0.33443,                0.51323,                0.44679,                0.48197,                0.33747,                 1.3229,                 2.0098,                 1.8075,                 1.9395,               0.002575,               0.002575,               0.002575
                     77,                 1.1083,                 1.9971,                 1.7792,                 1.6958,                  0.406,                0.48525,                0.49524,                0.33441,                0.39402,                0.47143,                 0.4703,                0.34271,                 1.2711,                 2.0029,                 1.8134,                   1.87,               0.002476,               0.002476,               0.002476
                     78,                 1.1051,                 2.0209,                 1.7401,                  1.665,                0.44659,                0.53784,                0.50011,                0.34172,                0.44377,                0.53143,                0.48419,                0.34077,                  1.284,                 1.9946,                 1.7549,                 1.8609,               0.002377,               0.002377,               0.002377
                     79,                 1.0936,                 1.9649,                 1.7114,                 1.6735,                0.51114,                0.46859,                0.50774,                0.33202,                0.50574,                 0.4591,                0.49447,                0.33788,                 1.3249,                 1.9784,                 1.7808,                 1.9004,               0.002278,               0.002278,               0.002278
                     80,                 1.0985,                 1.9951,                 1.6997,                 1.6521,                0.46255,                  0.527,                0.50472,                 0.3493,                 0.4553,                0.51779,                0.49022,                0.35741,                 1.2613,                 1.9671,                 1.7463,                  1.841,               0.002179,               0.002179,               0.002179
                     81,                 1.0727,                 2.0008,                  1.703,                 1.6531,                0.49624,                0.45996,                0.50432,                0.33973,                0.49163,                0.45535,                0.49423,                0.34898,                 1.3046,                 1.9713,                 1.7405,                 1.8862,                0.00208,                0.00208,                0.00208
                     82,                 1.0499,                  1.908,                 1.7002,                 1.6171,                 0.4958,                0.45504,                0.51185,                0.34881,                0.55678,                0.44379,                0.51186,                0.35585,                 1.2739,                 1.9029,                 1.7033,                 1.8508,               0.001981,               0.001981,               0.001981
                     83,                  1.105,                 1.9897,                 1.7347,                 1.6609,                0.59237,                0.44881,                0.53799,                0.37348,                0.58291,                0.43853,                 0.5142,                0.37398,                  1.278,                 1.9345,                 1.6886,                  1.828,               0.001882,               0.001882,               0.001882
                     84,                 1.0703,                 1.9367,                 1.7052,                 1.6245,                0.52753,                0.46337,                0.49959,                0.34332,                0.51573,                0.45551,                0.49033,                0.34173,                 1.2568,                 1.9309,                 1.7408,                 1.8289,               0.001783,               0.001783,               0.001783
                     85,                 1.0933,                 1.9648,                 1.7108,                 1.6288,                0.53101,                0.46808,                0.53106,                0.35821,                0.52723,                  0.462,                0.50818,                 0.3678,                 1.2682,                 1.9331,                 1.7095,                 1.8661,               0.001684,               0.001684,               0.001684
                     86,                 1.0704,                 1.9717,                 1.6903,                 1.6448,                0.54594,                0.43595,                0.51279,                0.36521,                0.57256,                0.42726,                0.50316,                0.36397,                 1.2508,                  1.898,                 1.6731,                 1.8687,               0.001585,               0.001585,               0.001585
                     87,                 1.0714,                 1.9769,                 1.6559,                  1.629,                0.47257,                0.47683,                0.51392,                0.35158,                0.46879,                0.46275,                0.50414,                0.35235,                 1.3119,                 1.9832,                 1.7255,                 1.9025,               0.001486,               0.001486,               0.001486
                     88,                 1.0614,                 1.9431,                 1.6603,                 1.6297,                0.54631,                0.43285,                0.51045,                0.34831,                0.55371,                  0.433,                0.49775,                0.34694,                  1.297,                 2.0042,                 1.7349,                  1.892,               0.001387,               0.001387,               0.001387
